2025-02-24 07:42:32 status half-installed python3.8:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:32 status triggers-pending bamfdaemon:arm64 0.5.3+18.04.20180207.2-0ubuntu2
2025-02-24 07:42:32 status triggers-pending desktop-file-utils:arm64 0.24-1ubuntu3
2025-02-24 07:42:32 status triggers-pending mime-support:all 3.64ubuntu1
2025-02-24 07:42:33 status unpacked python3.8:arm64 3.8.10-0ubuntu1~20.04.15
2025-02-24 07:42:33 upgrade libpython3.8:arm64 3.8.10-0ubuntu1~20.04.11 3.8.10-0ubuntu1~20.04.15
2025-02-24 07:42:33 status half-configured libpython3.8:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:33 status unpacked libpython3.8:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:34 status half-installed libpython3.8:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:34 status unpacked libpython3.8:arm64 3.8.10-0ubuntu1~20.04.15
2025-02-24 07:42:35 upgrade libpython3.8-stdlib:arm64 3.8.10-0ubuntu1~20.04.11 3.8.10-0ubuntu1~20.04.15
2025-02-24 07:42:35 status half-configured libpython3.8-stdlib:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:35 status unpacked libpython3.8-stdlib:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:35 status half-installed libpython3.8-stdlib:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:36 status unpacked libpython3.8-stdlib:arm64 3.8.10-0ubuntu1~20.04.15
2025-02-24 07:42:37 upgrade python3.8-minimal:arm64 3.8.10-0ubuntu1~20.04.11 3.8.10-0ubuntu1~20.04.15
2025-02-24 07:42:37 status half-configured python3.8-minimal:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:37 status unpacked python3.8-minimal:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:37 status half-installed python3.8-minimal:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:38 status unpacked python3.8-minimal:arm64 3.8.10-0ubuntu1~20.04.15
2025-02-24 07:42:39 upgrade libpython3.8-minimal:arm64 3.8.10-0ubuntu1~20.04.11 3.8.10-0ubuntu1~20.04.15
2025-02-24 07:42:39 status half-configured libpython3.8-minimal:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:39 status unpacked libpython3.8-minimal:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:39 status half-installed libpython3.8-minimal:arm64 3.8.10-0ubuntu1~20.04.11
2025-02-24 07:42:40 status unpacked libpython3.8-minimal:arm64 3.8.10-0ubuntu1~20.04.15
2025-02-24 07:42:41 upgrade libexpat1:arm64 2.2.9-1ubuntu0.6 2.2.9-1ubuntu0.8
2025-02-24 07:42:41 status half-configured libexpat1:arm64 2.2.9-1ubuntu0.6
2025-02-24 07:42:41 status unpacked libexpat1:arm64 2.2.9-1ubuntu0.6
2025-02-24 07:42:41 status half-installed libexpat1:arm64 2.2.9-1ubuntu0.6
2025-02-24 07:42:41 status unpacked libexpat1:arm64 2.2.9-1ubuntu0.8
2025-02-24 07:42:42 upgrade rsync:arm64 3.1.3-8ubuntu0.7 3.1.3-8ubuntu0.9
2025-02-24 07:42:42 status half-configured rsync:arm64 3.1.3-8ubuntu0.7
2025-02-24 07:42:42 status unpacked rsync:arm64 3.1.3-8ubuntu0.7
2025-02-24 07:42:42 status half-installed rsync:arm64 3.1.3-8ubuntu0.7
2025-02-24 07:42:42 status triggers-pending systemd:arm64 245.4-4ubuntu4.16
2025-02-24 07:42:43 status unpacked rsync:arm64 3.1.3-8ubuntu0.9
2025-02-24 07:42:43 upgrade libk5crypto3:arm64 1.17-6ubuntu4.7 1.17-6ubuntu4.8
2025-02-24 07:42:43 status half-configured libk5crypto3:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:43 status unpacked libk5crypto3:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:43 status half-installed libk5crypto3:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:44 status unpacked libk5crypto3:arm64 1.17-6ubuntu4.8
2025-02-24 07:42:44 upgrade libgssapi-krb5-2:arm64 1.17-6ubuntu4.7 1.17-6ubuntu4.8
